"시점","통계분류(1)","통계분류(2)",항목,데이터
"2021","전체","소계",숙박시설,98.2
"2021","전체","소계",교통(항공 선박 철도 버스 등),23.5
"2021","전체","소계",차량대여/렌트,17.6
"2021","전체","소계",레저시설,6.1
"2021","성별","남자",숙박시설,97.7
"2021","성별","남자",교통(항공 선박 철도 버스 등),14.5
"2021","성별","남자",차량대여/렌트,10.1
"2021","성별","남자",레저시설,5.1
"2021","성별","여자",숙박시설,98.7
"2021","성별","여자",교통(항공 선박 철도 버스 등),32
"2021","성별","여자",차량대여/렌트,24.7
"2021","성별","여자",레저시설,7.1
"2021","연령","15~19세",숙박시설,100
"2021","연령","15~19세",교통(항공 선박 철도 버스 등),100
"2021","연령","15~19세",차량대여/렌트,100
"2021","연령","20대",숙박시설,97.8
"2021","연령","20대",교통(항공 선박 철도 버스 등),18
"2021","연령","20대",차량대여/렌트,13.2
"2021","연령","20대",레저시설,6.7
"2021","연령","30대",숙박시설,95.8
"2021","연령","30대",교통(항공 선박 철도 버스 등),14
"2021","연령","30대",차량대여/렌트,12
"2021","연령","30대",레저시설,12.5
"2021","연령","40대",숙박시설,100
"2021","연령","40대",교통(항공 선박 철도 버스 등),18.9
"2021","연령","40대",차량대여/렌트,22.7
"2021","연령","50대",숙박시설,100
"2021","연령","50대",교통(항공 선박 철도 버스 등),48.9
"2021","연령","50대",차량대여/렌트,17.9
"2021","연령","50대",레저시설,5.5
"2021","연령","60대",숙박시설,100
"2021","연령","60대",교통(항공 선박 철도 버스 등),49.3
"2021","연령","60대",차량대여/렌트,49.3
"2021","연령","70세 이상",숙박시설,100
"2021","연령","70세 이상",교통(항공 선박 철도 버스 등),71
"2022","전체","소계",숙박시설,94
"2022","전체","소계",교통(항공 선박 철도 버스 등),37.4
"2022","전체","소계",차량대여/렌트,22.5
"2022","전체","소계",레저시설,4.8
"2022","성별","남자",숙박시설,92.6
"2022","성별","남자",교통(항공 선박 철도 버스 등),43.7
"2022","성별","남자",차량대여/렌트,24.5
"2022","성별","남자",레저시설,6.5
"2022","성별","여자",숙박시설,95.4
"2022","성별","여자",교통(항공 선박 철도 버스 등),31.6
"2022","성별","여자",차량대여/렌트,20.6
"2022","성별","여자",레저시설,3.1
"2022","연령","15~19세",숙박시설,100
"2022","연령","20대",숙박시설,94.8
"2022","연령","20대",교통(항공 선박 철도 버스 등),33.8
"2022","연령","20대",차량대여/렌트,21.5
"2022","연령","20대",레저시설,6.6
"2022","연령","30대",숙박시설,100
"2022","연령","30대",교통(항공 선박 철도 버스 등),13.8
"2022","연령","30대",차량대여/렌트,13.8
"2022","연령","40대",숙박시설,100
"2022","연령","40대",교통(항공 선박 철도 버스 등),38
"2022","연령","40대",차량대여/렌트,25.6
"2022","연령","40대",레저시설,3.9
"2022","연령","50대",숙박시설,92.1
"2022","연령","50대",교통(항공 선박 철도 버스 등),74.9
"2022","연령","50대",차량대여/렌트,28.8
"2022","연령","50대",레저시설,7.8
"2022","연령","60대",숙박시설,61.4
"2022","연령","60대",교통(항공 선박 철도 버스 등),62.7
"2022","연령","60대",차량대여/렌트,40.6
"2022","연령","60대",레저시설,10.8
"2022","연령","70세 이상",숙박시설,100
