"통계분류(1)","통계분류(2)","시점",항목,데이터
"연령","20대","2018",레저시설(놀이시설 스파 스키장 골프장 등),26.9
"연령","20대","2018",식당,9.3
"연령","20대","2018",관광명소(유적지 국립공원 등),16.3
"연령","20대","2018",차량대여/렌트,30.5
"연령","20대","2018",체험 프로그램(농어촌 체험 생태체험 학습 등),9.1
"연령","20대","2018",기타,1.8
"연령","20대","2019",교통수단(항공 선박 철도 버스 등),33.6
"연령","20대","2019",레저시설(놀이시설 스파 스키장 골프장 등),38.9
"연령","20대","2019",식당,11.7
"연령","20대","2019",관광명소(유적지 국립공원 등),9.1
"연령","20대","2019",차량대여/렌트,4.2
"연령","20대","2019",체험 프로그램(농어촌 체험 생태체험 학습 등),5.6
"연령","20대","2019",기타,6.2
"연령","20대","2020",교통수단(항공 선박 철도 버스 등),5.6
"연령","20대","2020",레저시설(놀이시설 스파 스키장 골프장 등),1.6
"연령","20대","2020",식당,0.8
"연령","20대","2020",관광명소(유적지 국립공원 등),0.6
"연령","20대","2020",차량대여/렌트,0.9
"연령","20대","2020",체험 프로그램(농어촌 체험 생태체험 학습 등),0.1
"연령","20대","2020",기타,0.2
"연령","20대","2020",사전 예약하지 않았음,90.5
"연령","20대","2021",교통수단(항공 선박 철도 버스 등),3.1
"연령","20대","2021",레저시설(놀이시설 스파 스키장 골프장 등),1.4
"연령","20대","2021",식당,0.6
"연령","20대","2021",관광명소(유적지 국립공원 등),0.5
"연령","20대","2021",차량대여/렌트,0.4
"연령","20대","2021",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"연령","20대","2021",기타,0.5
"연령","20대","2021",사전 예약하지 않았음,94
"연령","20대","2022",교통수단(항공 선박 철도 버스 등),4.1
"연령","20대","2022",레저시설(놀이시설 스파 스키장 골프장 등),2.2
"연령","20대","2022",식당,0.6
"연령","20대","2022",관광명소(유적지 국립공원 등),0.4
"연령","20대","2022",차량대여/렌트,0.7
"연령","20대","2022",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"연령","20대","2022",기타,0.5
"연령","20대","2022",사전 예약하지 않았음,91.6
"연령","30대","2018",교통수단(항공 선박 철도 버스 등),27
"연령","30대","2018",레저시설(놀이시설 스파 스키장 골프장 등),34.2
"연령","30대","2018",식당,15.8
"연령","30대","2018",관광명소(유적지 국립공원 등),18.4
"연령","30대","2018",차량대여/렌트,12.5
"연령","30대","2018",체험 프로그램(농어촌 체험 생태체험 학습 등),10.4
"연령","30대","2018",기타,5.6
"연령","30대","2019",교통수단(항공 선박 철도 버스 등),22.6
"연령","30대","2019",레저시설(놀이시설 스파 스키장 골프장 등),43.6
"연령","30대","2019",식당,13.4
"연령","30대","2019",관광명소(유적지 국립공원 등),11.4
"연령","30대","2019",차량대여/렌트,1.1
"연령","30대","2019",체험 프로그램(농어촌 체험 생태체험 학습 등),13.3
"연령","30대","2019",기타,3.4
"연령","30대","2020",교통수단(항공 선박 철도 버스 등),2.2
"연령","30대","2020",레저시설(놀이시설 스파 스키장 골프장 등),1.6
"연령","30대","2020",식당,1.3
"연령","30대","2020",관광명소(유적지 국립공원 등),0.4
"연령","30대","2020",차량대여/렌트,0.1
