"시점","통계분류(1)","통계분류(2)",항목,데이터
"2021","성별","여자",차량대여/렌트,24.8
"2021","성별","여자",레저시설,8.8
"2021","성별","여자",기타,0.9
"2021","연령","15~19세",숙박시설,30
"2021","연령","15~19세",교통(항공 선박 철도 버스 등),30
"2021","연령","15~19세",차량대여/렌트,30
"2021","연령","15~19세",레저시설,70
"2021","연령","20대",숙박시설,93.3
"2021","연령","20대",교통(항공 선박 철도 버스 등),17.2
"2021","연령","20대",차량대여/렌트,12.6
"2021","연령","20대",레저시설,11.1
"2021","연령","30대",숙박시설,89.1
"2021","연령","30대",교통(항공 선박 철도 버스 등),13
"2021","연령","30대",차량대여/렌트,12
"2021","연령","30대",레저시설,17.7
"2021","연령","40대",숙박시설,95
"2021","연령","40대",교통(항공 선박 철도 버스 등),17.9
"2021","연령","40대",차량대여/렌트,21.5
"2021","연령","40대",레저시설,3
"2021","연령","40대",기타,2.1
"2021","연령","50대",숙박시설,92
"2021","연령","50대",교통(항공 선박 철도 버스 등),45
"2021","연령","50대",차량대여/렌트,24.5
"2021","연령","50대",레저시설,5.1
"2021","연령","60대",숙박시설,75.8
"2021","연령","60대",교통(항공 선박 철도 버스 등),61.5
"2021","연령","60대",차량대여/렌트,37.3
"2021","연령","70세 이상",숙박시설,100
"2021","연령","70세 이상",교통(항공 선박 철도 버스 등),71
"2022","성별","남자",숙박시설,79.6
"2022","성별","남자",교통(항공 선박 철도 버스 등),41.7
"2022","성별","남자",차량대여/렌트,22.8
"2022","성별","남자",레저시설,15.7
"2022","성별","여자",숙박시설,84.8
"2022","성별","여자",교통(항공 선박 철도 버스 등),35.7
"2022","성별","여자",차량대여/렌트,20
"2022","성별","여자",레저시설,6.4
"2022","연령","15~19세",숙박시설,100
"2022","연령","20대",숙박시설,83.8
"2022","연령","20대",교통(항공 선박 철도 버스 등),29.9
"2022","연령","20대",차량대여/렌트,19
"2022","연령","20대",레저시설,17.4
"2022","연령","30대",숙박시설,94.8
"2022","연령","30대",교통(항공 선박 철도 버스 등),13.1
"2022","연령","30대",차량대여/렌트,13.1
"2022","연령","30대",레저시설,5.2
"2022","연령","40대",숙박시설,85.7
"2022","연령","40대",교통(항공 선박 철도 버스 등),41.1
"2022","연령","40대",차량대여/렌트,26.4
"2022","연령","40대",레저시설,4.6
"2022","연령","50대",숙박시설,88
"2022","연령","50대",교통(항공 선박 철도 버스 등),75.1
"2022","연령","50대",차량대여/렌트,27.5
"2022","연령","50대",레저시설,8.4
"2022","연령","60대",숙박시설,44.2
"2022","연령","60대",교통(항공 선박 철도 버스 등),73.2
"2022","연령","60대",차량대여/렌트,29.2
"2022","연령","60대",레저시설,17.4
"2022","연령","70세 이상",숙박시설,40.1
"2022","연령","70세 이상",교통(항공 선박 철도 버스 등),31.4
"2022","연령","70세 이상",차량대여/렌트,28.5
"2022","연령","70세 이상",레저시설,31.4
