순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,33957
2,레포츠,스키,27428
3,레포츠,등산,19704
4,레포츠,캠핑,17226
5,레포츠,산행,11979
6,레포츠,낚시,10119
7,휴식/힐링,나들이,7815
8,기타,투어,7504
9,휴식/힐링,겨울여행,6971
10,휴식/힐링,휴양,6767
11,레포츠,서핑,6352
12,레포츠,트레킹,5001
13,휴식/힐링,불멍,4357
14,레포츠,레저,4248
15,휴식/힐링,호캉스,3530
16,휴식/힐링,즐길거리,3254
17,기타,해외여행,2967
18,레포츠,글램핑,2785
19,미식,먹부림,2498
20,휴식/힐링,야영,2466
21,레포츠,차박,2365
22,기타,답사,1993
23,휴식/힐링,피크닉,1885
24,레포츠,트래킹,1788
25,휴식/힐링,물멍,1768
26,레포츠,오토캠핑,1757
27,기타,데이트코스,1742
28,휴식/힐링,힐링여행,1686
29,레포츠,래프팅,1435
30,미식,카페투어,1395
31,레포츠,백패킹,1293
32,휴식/힐링,바다멍,1285
33,레포츠,레포츠,1281
34,미식,맛집탐방,1068
35,기타,기차여행,1050
35,체험,수학여행,1050
37,레포츠,짚라인,1023
38,미식,맛집투어,977
39,레포츠,스노우보드,941
40,휴식/힐링,워케이션,905
41,체험,템플스테이,895
42,휴식/힐링,신혼여행,864
43,미식,빵지순례,848
44,휴식/힐링,재충전,780
45,레포츠,클라이밍,750
46,레포츠,바다낚시,737
47,레포츠,루어낚시,687
48,휴식/힐링,태교여행,674
49,레포츠,카약,654
50,체험,농촌체험,645
51,휴식/힐링,테라피,642
52,휴식/힐링,생태관광,637
52,레포츠,레저스포츠,637
54,휴식/힐링,우정여행,633
55,기타,추억여행,568
56,레포츠,패러글라이딩,540
57,레포츠,스노클링,512
57,휴식/힐링,가을여행,512
59,휴식/힐링,촌캉스,507
60,기타,일본여행,503
61,레포츠,스키여행,486
62,휴식/힐링,드라이브코스,485
63,레포츠,하이킹,484
64,레포츠,해양레저,477
65,레포츠,캠프파이어,472
66,레포츠,스쿠버,465
67,기타,도보여행,462
68,기타,부산여행,456
68,레포츠,스노쿨링,456
68,체험,생태체험,456
71,레포츠,수상레저,423
72,미식,바베큐파티,406
73,레포츠,골프여행,398
74,기타,제주여행,389
75,레포츠,노지캠핑,387
76,레포츠,글라이더,386
77,레포츠,캠핑족,379
78,체험,낚시체험,369
79,레포츠,감성캠핑,360
79,미식,먹방여행,360
81,레포츠,스킨스쿠버,356
82,레포츠,오프로드,346
83,휴식/힐링,봄여행,344
84,레포츠,암벽등반,343
85,휴식/힐링,온천여행,340
86,휴식/힐링,일광욕,329
87,체험,목공체험,328
88,휴식/힐링,눈꽃여행,320
89,체험,동물체험,318
90,레포츠,번지점프,297
91,기타,일출여행,294
92,기타,걷기여행,292
93,체험,어촌체험,285
94,기타,자유여행,267
95,레포츠,빙벽등반,266
96,체험,vr체험,263
97,기타,유럽여행,259
98,휴식/힐링,즉흥여행,246
99,체험,시티투어,239
99,미식,먹킷리스트,239
101,미식,고기파티,231
102,체험,한옥스테이,223
103,레포츠,스쿠버다이빙,216
104,레포츠,카라반캠핑,207
105,기타,배낭여행,205
106,휴식/힐링,일출뷰,200
106,기타,스탬프투어,200
108,체험,놀이체험,199
109,미식,식도락여행,195
110,체험,숲체험,194
111,휴식/힐링,감성여행,193
112,휴식/힐링,파도멍,191
113,레포츠,트레일러닝,189
114,레포츠,수상스키,188
115,휴식/힐링,단풍놀이,187
115,기타,제주도여행,187
117,체험,택시투어,182
118,레포츠,게이트볼,180
119,체험,버스투어,176
120,체험,쿠킹클래스,172
121,레포츠,산악자전거,168
121,기타,세계여행,168
123,휴식/힐링,시골여행,159
124,기타,졸업여행,144
125,체험,승마체험,134
126,휴식/힐링,숲캉스,130
127,기타,테마여행,126
128,체험,먹이주기체험,125
129,레포츠,견지낚시,124
130,체험,딸기체험,122
131,레포츠,패들보드,120
132,레포츠,골프투어,118
132,체험,전쟁체험,118
134,레포츠,제트스키,114
135,레포츠,써핑,113
136,휴식/힐링,차크닉,108
137,기타,해돋이여행,107
137,휴식/힐링,요트투어,107
139,체험,갯벌체험,105
140,휴식/힐링,허니문,103
141,미식,애프터눈티,101
141,레포츠,오픈워터,101
141,레포츠,ssi,101
144,휴식/힐링,산멍,99
145,기타,열차여행,96
146,레포츠,숏스키,95
147,체험,족욕체험,93
148,레포츠,캠핑여행,90
148,기타,패키지여행,90
150,레포츠,해양스포츠,85
150,체험,한옥체험,85
152,체험,갯배체험,84
153,기타,세계일주,83
154,레포츠,프리다이빙,81
154,휴식/힐링,노을뷰,81
156,기타,역사여행,76
156,휴식/힐링,낭만여행,76
158,기타,자전거여행,75
158,휴식/힐링,숲멍,75
158,체험,건초주기체험,75
161,레포츠,윈드서핑,74
162,기타,기념여행,72
163,체험,목장체험,69
164,체험,한복체험,67
165,체험,야경투어,66
166,미식,빵투어,65
167,체험,공예체험,64
167,체험,카누체험,64
169,레포츠,스케이트보드,63
170,레포츠,캠크닉,57
170,미식,삼겹살파티,57
172,레포츠,스쿼시,56
172,레포츠,민물낚시,56
172,체험,루지체험,56
175,체험,숙박체험,55
