순위,분류,관련 키워드,언급건수
175,레포츠,알빙,55
177,체험,도자기체험,54
178,체험,민속놀이체험,53
179,체험,전통놀이체험,52
179,레포츠,원스키,52
179,휴식/힐링,펫캉스,52
182,기타,야외취침,51
183,체험,동굴체험,49
184,레포츠,낚시여행,47
185,체험,감귤체험,46
186,체험,공방체험,45
187,레포츠,버기카,44
187,레포츠,해양레포츠,44
187,휴식/힐링,근교여행,44
187,체험,산사체험,44
191,체험,요리체험,42
191,휴식/힐링,벚꽃여행,42
191,레포츠,애슬레저,42
194,레포츠,바나나보트,41
194,미식,먹부림여행,41
196,휴식/힐링,하늘멍,40
196,휴식/힐링,책맥,40
198,레포츠,웨이크보드,39
198,체험,배낚시체험,39
200,레포츠,산악오토바이,38
200,기타,소싸움,38
202,체험,원예체험,37
202,레포츠,수상자전거,37
202,체험,요트체험,37
205,레포츠,플라이낚시,36
206,레포츠,수상스포츠,35
206,기타,미국여행,35
206,레포츠,배스낚시,35
206,레포츠,페러글라이딩,35
210,체험,역사체험,34
210,레포츠,캠프닉,34
212,휴식/힐링,농촌여행,33
212,미식,먹거리투어,33
212,체험,활쏘기체험,33
215,휴식/힐링,일몰뷰,32
216,체험,다도체험,31
217,휴식/힐링,드라이브여행,30
218,체험,공포체험,29
218,체험,동물먹이주기체험,29
220,기타,자전거투어,28
221,기타,동남아여행,27
221,체험,알파카체험,27
221,레포츠,캠핑라이프,27
221,레포츠,스노우보딩,27
221,휴식/힐링,홈캠핑,27
226,기타,오지여행,26
226,레포츠,패들보트,26
228,체험,바다체험,25
228,체험,미술체험,25
230,체험,수확체험,24
230,레포츠,제트보트,24
232,체험,양떼목장체험,23
232,레포츠,수상레져,23
232,체험,카트체험,23
232,레포츠,스카이다이빙,23
232,레포츠,rving,23
237,기타,청춘여행,22
237,레포츠,행글라이딩,22
237,체험,양먹이주기체험,22
237,기타,무전여행,22
241,휴식/힐링,숙소콕,21
241,레포츠,아쿠아로빅,21
241,체험,악기체험,21
241,미식,맥주파티,21
245,체험,농장체험,20
245,레포츠,패러세일링,20
245,미식,먹거리여행,20
248,휴식/힐링,스테이케이션,19
249,레포츠,padi,18
249,체험,다례체험,18
249,체험,목공예체험,18
252,레포츠,스노우쿨링,17
252,레포츠,케이빙,17
252,체험,커피체험,17
252,레포츠,행글라이더,17
256,체험,농사체험,16
256,기타,중국여행,16
258,체험,물레체험,15
258,체험,국궁체험,15
258,체험,블루베리체험,15
258,체험,산림문화체험,15
262,체험,선상낚시체험,14
262,휴식/힐링,집콕생활,14
262,레포츠,서바이벌게임,14
262,체험,타종체험,14
266,체험,명상체험,13
266,기타,워킹투어,13
266,체험,탁본체험,13
266,체험,치즈체험,13
266,체험,향수만들기,13
271,체험,닥터피쉬체험,12
271,체험,서핑체험,12
271,체험,도예체험,12
271,체험,우유주기체험,12
275,레포츠,실내스키,11
275,체험,보트체험,11
275,체험,곤충체험,11
275,기타,도시여행,11
275,레포츠,모토캠핑,11
280,체험,천연염색체험,10
280,휴식/힐링,키캉스,10
280,휴식/힐링,혼놀,10
280,체험,마차체험,10
280,체험,투명카누체험,10
280,체험,씨티투어,10
286,체험,바다낚시체험,9
286,체험,딸기수확체험,9
286,기타,데이트스냅,9
286,기타,일몰여행,9
286,체험,고택체험,9
286,체험,유리공예체험,9
286,휴식/힐링,크루즈여행,9
286,레포츠,암벽등산,9
294,체험,담력체험,8
294,체험,염색체험,8
294,휴식/힐링,석양뷰,8
294,체험,사격체험,8
294,기타,순례여행,8
299,휴식/힐링,홈캉스,7
299,미식,빵집순례,7
299,기타,일출투어,7
299,체험,카약체험,7
299,기타,문화재여행,7
299,체험,해녀체험,7
299,레포츠,클레이사격,7
299,레포츠,bmx,7
307,레포츠,골캉스,6
307,체험,달고나체험,6
307,체험,해양체험,6
307,레포츠,줄낚시,6
307,휴식/힐링,구름멍,6
307,체험,호텔체험,6
307,레포츠,인라인스케이팅,6
314,체험,박물관체험,5
314,휴식/힐링,호텔스테이,5
314,레포츠,발야구,5
314,기타,일본관광,5
314,체험,클라이밍체험,5
314,레포츠,스킨다이빙,5
314,레포츠,인공암벽등반,5
321,미식,미식체험,4
321,체험,레일바이크체험,4
321,레포츠,씨워킹,4
321,레포츠,워터슬레이,4
321,체험,동물먹이체험,4
321,체험,전통의상체험,4
321,체험,서바이벌체험,4
328,체험,농가체험,3
328,체험,우주체험,3
328,체험,액티비티체험,3
328,체험,스노클링체험,3
328,레포츠,롱스키,3
333,레포츠,naui,2
333,체험,맨발체험,2
333,체험,전통공예체험,2
333,체험,카라반체험,2
333,레포츠,심해잠수,2
333,체험,물놀이체험,2
333,체험,말타기체험,2
333,체험,토끼먹이주기체험,2
333,체험,귤체험,2
333,체험,가우디투어,2
333,체험,텃밭체험,2
333,체험,귀신체험,2
333,체험,수상레저체험,2
333,체험,한옥숙박체험,2
333,체험,조종체험,2
348,체험,오프로드체험,1
348,휴식/힐링,모캉스,1
348,레포츠,바이크캠핑,1
348,휴식/힐링,밀월여행,1
348,체험,지게체험,1
348,체험,라탄공예체험,1
348,휴식/힐링,옥캉스,1
348,체험,굴렁쇠체험,1
348,레포츠,암벽산행,1
348,레포츠,블롭점프,1
348,레포츠,스킨스쿠버다이빙,1
348,체험,비행시뮬레이션,1
348,체험,전통혼례체험,1
348,체험,조개체험,1
348,체험,증강현실체험,1
348,레포츠,cmas,1
348,체험,기모노체험,1
348,미식,와인투어,1
348,체험,경비행기체험,1
348,미식,와이너리투어,1
348,레포츠,줄없는번지,1
348,휴식/힐링,북캉스,1
348,휴식/힐링,카캉스,1
348,체험,향수체험,1
348,체험,교복체험,1
348,체험,학생승마체험,1
348,체험,해병대캠프,1
