순위,분류,관련 키워드,언급건수
314,체험,액티비티체험,2
314,체험,전통공예체험,2
314,휴식/힐링,홈캠핑,2
314,체험,가죽공예체험,2
314,체험,전통의상체험,2
314,레포츠,인공암벽등반,2
314,레포츠,락클라이밍,2
329,레포츠,씨워킹,1
329,체험,귤체험,1
329,레포츠,줄없는번지,1
329,체험,달고나체험,1
329,레포츠,롱스키,1
329,체험,패러글라이딩체험,1
329,체험,해녀체험,1
329,체험,보트체험,1
329,레포츠,패들보트,1
329,체험,맨발체험,1
329,체험,호텔체험,1
329,체험,박물관체험,1
329,기타,문화재여행,1
329,체험,스카이워크체험,1
329,체험,올레길체험,1
329,체험,양초공예체험,1
329,체험,전통혼례체험,1
329,기타,덕질여행,1
329,체험,조개체험,1
329,체험,조종체험,1
329,체험,차문화체험,1
329,체험,산사체험,1
329,체험,블루베리체험,1
