순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,27888
2,레포츠,스키,23244
3,레포츠,등산,11998
4,레포츠,낚시,10538
5,레포츠,캠핑,8225
6,레포츠,산행,7796
7,휴식/힐링,나들이,7070
8,기타,투어,6684
9,휴식/힐링,겨울여행,6368
10,휴식/힐링,휴양,5020
11,레포츠,서핑,4210
12,레포츠,트레킹,3317
13,레포츠,레저,3272
14,휴식/힐링,즐길거리,2630
15,휴식/힐링,힐링여행,2544
16,휴식/힐링,호캉스,2213
17,기타,해외여행,2141
18,기타,데이트코스,2006
19,미식,카페투어,1791
20,기타,답사,1642
21,레포츠,스노우보드,1518
22,미식,먹부림,1434
23,미식,맛집투어,1403
24,레포츠,바다낚시,1402
25,휴식/힐링,야영,1363
26,기타,기차여행,1313
27,레포츠,래프팅,1251
28,휴식/힐링,피크닉,1221
29,레포츠,레포츠,1150
30,레포츠,글램핑,1116
31,레포츠,트래킹,1038
32,미식,맛집탐방,1006
33,레포츠,오토캠핑,908
34,레포츠,루어낚시,861
35,레포츠,백패킹,842
36,체험,농촌체험,818
37,기타,자유여행,793
38,체험,시티투어,787
39,레포츠,차박,786
40,미식,바베큐파티,777
41,기타,데이트스냅,775
42,레포츠,오프로드,740
43,기타,부산여행,730
44,휴식/힐링,신혼여행,704
45,체험,수학여행,703
46,미식,먹방여행,657
47,휴식/힐링,우정여행,646
48,레포츠,수상레저,624
49,휴식/힐링,생태관광,570
50,레포츠,짚라인,539
51,체험,승마체험,507
52,기타,추억여행,505
53,휴식/힐링,재충전,502
54,체험,템플스테이,478
55,레포츠,캠프파이어,472
56,레포츠,패러글라이딩,456
57,휴식/힐링,테라피,450
58,휴식/힐링,드라이브코스,442
59,휴식/힐링,온천여행,429
60,레포츠,스쿠버,422
61,휴식/힐링,가을여행,376
62,레포츠,스키여행,364
63,기타,제주여행,354
64,레포츠,클라이밍,339
65,기타,도보여행,322
66,레포츠,레저스포츠,321
67,기타,걷기여행,309
67,휴식/힐링,눈꽃여행,309
69,기타,일출여행,297
70,기타,테마여행,296
71,휴식/힐링,불멍,293
72,레포츠,번지점프,288
73,기타,유럽여행,287
74,기타,제주도여행,274
74,레포츠,하이킹,274
76,체험,생태체험,272
77,체험,버스투어,267
78,레포츠,산악자전거,257
79,레포츠,스쿠버다이빙,253
80,레포츠,수상스키,250
81,휴식/힐링,단풍놀이,246
82,미식,빵지순례,245
83,미식,먹킷리스트,244
84,레포츠,카약,242
85,레포츠,골프여행,240
86,기타,배낭여행,239
87,레포츠,해양레저,229
88,휴식/힐링,태교여행,228
89,체험,어촌체험,223
90,체험,동물체험,221
91,휴식/힐링,즉흥여행,220
92,체험,낚시체험,218
93,레포츠,스킨스쿠버,206
94,기타,패키지여행,204
95,레포츠,게이트볼,202
96,미식,고기파티,201
97,레포츠,스노클링,193
98,휴식/힐링,감성여행,190
99,레포츠,노지캠핑,189
100,체험,숲체험,188
101,레포츠,스노쿨링,175
102,기타,일본여행,174
103,체험,다도체험,165
104,휴식/힐링,낭만여행,164
105,체험,공포체험,163
105,레포츠,캠핑족,163
107,레포츠,골프투어,154
108,레포츠,실내스키,151
109,휴식/힐링,일광욕,141
110,레포츠,암벽등반,136
111,레포츠,감성캠핑,131
112,기타,미국여행,124
113,기타,졸업여행,123
114,기타,세계여행,121
115,체험,쿠킹클래스,120
116,체험,vr체험,119
116,기타,자전거여행,119
118,휴식/힐링,봄여행,117
119,레포츠,원스키,116
120,기타,해돋이여행,115
121,미식,식도락여행,109
122,체험,한복체험,108
122,휴식/힐링,스테이케이션,108
124,레포츠,해양레포츠,103
125,체험,공예체험,101
126,체험,갯벌체험,100
127,레포츠,해양스포츠,99
128,레포츠,제트스키,98
129,레포츠,스쿼시,94
130,체험,갯배체험,90
131,레포츠,민물낚시,84
132,레포츠,카라반캠핑,79
132,체험,먹이주기체험,79
134,휴식/힐링,농촌여행,77
135,체험,숙박체험,74
136,체험,민속놀이체험,73
137,레포츠,캠핑여행,71
138,기타,스탬프투어,70
139,레포츠,버기카,68
140,레포츠,써핑,67
141,휴식/힐링,요트투어,66
142,체험,역사체험,65
142,기타,기념여행,65
144,체험,딸기체험,63
145,기타,중국여행,61
146,레포츠,견지낚시,60
147,레포츠,빙벽등반,59
147,체험,놀이체험,59
149,레포츠,윈드서핑,56
150,휴식/힐링,근교여행,55
150,체험,요트체험,55
152,미식,빵투어,53
153,체험,지게체험,52
153,레포츠,프리다이빙,52
153,휴식/힐링,허니문,52
156,체험,목공체험,51
157,기타,세계일주,50
157,체험,족욕체험,50
157,레포츠,서바이벌게임,50
160,레포츠,낚시여행,49
160,체험,건초주기체험,49
162,체험,동굴체험,48
162,레포츠,산악오토바이,48
164,체험,한옥스테이,47
164,레포츠,웨이크보드,47
166,레포츠,스케이트보드,46
166,기타,역사여행,46
166,레포츠,숏스키,46
169,체험,한옥체험,45
169,체험,선상낚시체험,45
171,체험,택시투어,44
172,체험,동물먹이주기체험,43
173,체험,서바이벌체험,42
174,체험,카트체험,40
175,레포츠,ssi,39
176,체험,공방체험,38
176,기타,일출투어,38
176,레포츠,바나나보트,38
176,레포츠,패들보드,38
176,기타,도시여행,38
176,체험,악기체험,38
182,레포츠,알빙,37
182,미식,삼겹살파티,37
182,체험,치즈체험,37
182,미식,애프터눈티,37
182,체험,전쟁체험,37
187,레포츠,트레일러닝,36
188,미식,맥주파티,35
189,체험,루지체험,32
190,기타,워킹투어,31
190,기타,야외취침,31
190,레포츠,수상스포츠,31
193,레포츠,padi,29
194,체험,목장체험,28
194,체험,커피체험,28
194,기타,열차여행,28
197,체험,배낚시체험,27
197,체험,해양체험,27
197,체험,양먹이주기체험,27
197,기타,소싸움,27
201,체험,레일바이크체험,26
201,체험,전통놀이체험,26
201,레포츠,심해잠수,26
201,레포츠,naui,26
205,레포츠,오픈워터,25
206,레포츠,제트보트,24
206,체험,곤충체험,24
206,레포츠,블롭점프,24
206,미식,먹거리여행,24
210,휴식/힐링,북캉스,23
210,기타,무전여행,23
212,체험,타종체험,22
212,체험,수확체험,22
212,체험,도자기체험,22
215,레포츠,스카이다이빙,21
215,레포츠,bmx,21
215,체험,카누체험,21
215,휴식/힐링,시골여행,21
215,휴식/힐링,일출뷰,21
215,기타,청춘여행,21
221,휴식/힐링,크루즈여행,20
221,레포츠,수상자전거,20
221,체험,농장체험,20
224,휴식/힐링,키캉스,19
224,레포츠,글라이더,19
226,레포츠,수상레져,18
226,체험,서핑체험,18
226,체험,미술체험,18
229,체험,야경투어,17
229,휴식/힐링,바다멍,17
231,휴식/힐링,물멍,16
231,체험,우유주기체험,16
231,레포츠,배스낚시,16
234,미식,먹부림여행,15
234,레포츠,페러글라이딩,15
234,휴식/힐링,벚꽃여행,15
237,휴식/힐링,책맥,14
237,체험,목공예체험,14
237,레포츠,행글라이딩,14
237,미식,먹거리투어,14
237,체험,유리공예체험,14
237,휴식/힐링,홈캉스,14
237,레포츠,모토캠핑,14
244,레포츠,패러세일링,13
244,레포츠,행글라이더,13
244,체험,요리체험,13
244,레포츠,플라이낚시,13
244,체험,사격체험,13
244,레포츠,캠핑라이프,13
244,체험,닥터피쉬체험,13
244,체험,도예체험,13
252,레포츠,스노우보딩,12
252,휴식/힐링,호텔스테이,12
252,체험,토끼먹이주기체험,12
255,기타,자전거투어,11
255,레포츠,아쿠아로빅,11
255,체험,담력체험,11
255,체험,산림문화체험,11
255,기타,일몰여행,11
260,체험,텃밭체험,10
260,기타,동남아여행,10
260,체험,국궁체험,10
263,레포츠,rving,9
263,레포츠,클레이사격,9
263,체험,동물먹이체험,9
263,체험,고택체험,9
267,체험,탁본체험,8
267,체험,원예체험,8
267,휴식/힐링,파도멍,8
267,체험,해루질체험,8
267,기타,오지여행,8
267,체험,물레체험,8
273,레포츠,애슬레저,7
273,체험,카약체험,7
273,체험,알파카체험,7
273,체험,양떼목장체험,7
273,레포츠,스킨스쿠버다이빙,7
273,체험,다례체험,7
273,휴식/힐링,노을뷰,7
280,체험,딸기수확체험,6
280,레포츠,웨이크서핑,6
280,체험,향수만들기,6
280,레포츠,인라인스케이팅,6
280,휴식/힐링,혼놀,6
280,미식,와이너리투어,6
280,체험,감귤체험,6
280,레포츠,cmas,6
280,레포츠,줄낚시,6
280,휴식/힐링,숙소콕,6
290,체험,명상체험,5
290,체험,한옥숙박체험,5
290,휴식/힐링,일몰뷰,5
290,휴식/힐링,모캉스,5
290,휴식/힐링,집콕생활,5
290,체험,바다낚시체험,5
290,체험,천연염색체험,5
290,체험,씨티투어,5
298,휴식/힐링,밀월여행,4
298,체험,해양레저체험,4
298,휴식/힐링,카캉스,4
298,미식,빵집순례,4
298,체험,바다체험,4
298,체험,농사체험,4
298,체험,염색체험,4
298,체험,증강현실체험,4
298,체험,야간시티투어,4
307,체험,교복체험,3
307,체험,클라이밍체험,3
307,휴식/힐링,드라이브여행,3
307,레포츠,스노우쿨링,3
307,기타,일본관광,3
307,체험,말타기체험,3
307,휴식/힐링,차캉스,3
314,레포츠,암벽등산,2
314,체험,우주체험,2
314,레포츠,발야구,2
314,체험,바티칸투어,2
314,휴식/힐링,숲캉스,2
314,체험,스쿠버체험,2
314,체험,가우디투어,2
314,체험,스쿠버다이빙체험,2
