순위,분류,관련 키워드,언급건수
213,미식,맥주파티,27
213,체험,공방체험,27
218,휴식/힐링,벚꽃여행,26
218,체험,동물먹이주기체험,26
220,레포츠,산악오토바이,25
220,레포츠,클레이사격,25
220,체험,해양체험,25
223,레포츠,cmas,24
223,체험,서핑체험,24
223,기타,소싸움,24
223,레포츠,알빙,24
227,기타,중국여행,23
227,체험,미술체험,23
227,체험,알파카체험,23
227,기타,자전거투어,23
231,휴식/힐링,스테이케이션,22
231,휴식/힐링,홈캠핑,22
231,레포츠,바나나보트,22
231,휴식/힐링,농촌여행,22
231,체험,동굴체험,22
236,기타,미국여행,21
236,체험,물레체험,21
238,체험,요리체험,20
239,체험,동물먹이체험,19
239,체험,도예체험,19
241,체험,달고나체험,18
241,체험,놀이체험,18
241,체험,목공체험,18
241,레포츠,원스키,18
245,기타,동남아여행,17
245,체험,명상체험,17
245,체험,원예체험,17
245,휴식/힐링,크루즈여행,17
245,레포츠,워터슬레이,17
250,체험,바다낚시체험,16
250,기타,오지여행,16
252,레포츠,수상스포츠,15
252,레포츠,스킨다이빙,15
252,미식,먹거리투어,15
252,체험,카약체험,15
252,체험,우유주기체험,15
252,레포츠,패러세일링,15
252,체험,유리공예체험,15
259,체험,농사체험,14
259,체험,염색체험,14
259,체험,배낚시체험,14
262,체험,다도체험,13
262,기타,청춘여행,13
262,휴식/힐링,키캉스,13
262,미식,먹거리여행,13
262,체험,감귤체험,13
262,체험,치즈체험,13
268,레포츠,아쿠아로빅,12
268,레포츠,스노우쿨링,12
268,휴식/힐링,모캉스,12
268,레포츠,버기카,12
272,체험,민속놀이체험,11
273,체험,보트체험,10
273,기타,열차여행,10
273,휴식/힐링,집캉스,10
273,레포츠,패들보트,10
273,체험,공포체험,10
278,체험,닥터피쉬체험,9
278,체험,맨발체험,9
278,체험,말타기체험,9
278,레포츠,암벽등산,9
282,기타,워킹투어,8
282,레포츠,rving,8
282,미식,미식체험,8
282,체험,탁본체험,8
282,기타,일본관광,8
287,레포츠,골캉스,7
287,레포츠,발야구,7
287,체험,커피체험,7
287,체험,악기체험,7
287,레포츠,애슬레저,7
287,휴식/힐링,석양뷰,7
287,레포츠,행글라이딩,7
294,체험,곤충체험,6
294,체험,향수만들기,6
294,레포츠,씨워킹,6
294,휴식/힐링,카페케이션,6
298,체험,천연염색체험,5
298,체험,바다체험,5
298,레포츠,수상자전거,5
298,레포츠,플라이낚시,5
298,체험,클라이밍체험,5
298,체험,전통놀이체험,5
298,기타,일출투어,5
298,체험,씨티투어,5
298,체험,박물관체험,5
307,체험,물놀이체험,4
307,체험,교복체험,4
307,체험,투명카누체험,4
307,휴식/힐링,구름멍,4
307,체험,고택체험,4
307,체험,사격체험,4
307,체험,마차체험,4
307,레포츠,암벽산행,4
307,체험,조종체험,4
307,휴식/힐링,호텔스테이,4
307,기타,일몰여행,4
307,휴식/힐링,밀월여행,4
319,체험,전통공예체험,3
319,체험,패러글라이딩체험,3
319,휴식/힐링,혼놀,3
319,체험,산림문화체험,3
319,휴식/힐링,몰캉스,3
319,미식,와이너리투어,3
319,체험,증강현실체험,3
319,체험,한옥숙박체험,3
319,체험,담력체험,3
319,레포츠,심해잠수,3
319,체험,해녀체험,3
319,체험,텃밭체험,3
319,레포츠,인공암벽등반,3
332,체험,새먹이체험,2
332,체험,농가체험,2
332,체험,블루베리체험,2
332,레포츠,웨이크서핑,2
332,체험,레일바이크체험,2
332,레포츠,롱스키,2
332,휴식/힐링,카캉스,2
332,체험,비행시뮬레이션,2
332,체험,스노클링체험,2
332,체험,타종체험,2
332,체험,해병대캠프,2
332,체험,다이빙체험,2
332,레포츠,줄없는번지,2
332,레포츠,롤러스케이팅,2
346,휴식/힐링,룸캉스,1
346,미식,빵집순례,1
346,체험,활쏘기체험,1
346,기타,덕질여행,1
346,휴식/힐링,차캉스,1
346,체험,서바이벌체험,1
346,기타,문화재여행,1
346,체험,귀신체험,1
346,체험,국궁체험,1
346,체험,귤체험,1
346,체험,우주체험,1
346,레포츠,실내스키,1
346,체험,어린이승마체험,1
346,레포츠,bsac,1
346,체험,말먹이주기체험,1
