순위,분류,관련 키워드,언급건수
191,체험,야경투어,23
191,기타,중국여행,23
191,체험,양먹이주기체험,23
191,레포츠,모토캠핑,23
198,체험,도자기체험,22
198,휴식/힐링,모캉스,22
198,휴식/힐링,시골여행,22
198,체험,알파카체험,22
198,레포츠,알빙,22
198,레포츠,인공암벽등반,22
204,기타,무전여행,21
204,레포츠,산악오토바이,21
204,체험,족욕체험,21
204,휴식/힐링,농촌여행,21
204,휴식/힐링,홈캉스,21
204,레포츠,cmas,21
210,체험,한복체험,20
211,기타,소싸움,19
211,레포츠,스쿼시,19
211,휴식/힐링,일몰뷰,19
211,체험,카누체험,19
211,휴식/힐링,책맥,19
216,체험,미술체험,18
216,미식,먹부림여행,18
218,체험,고택체험,17
219,체험,바다낚시체험,16
219,체험,역사체험,16
219,레포츠,버기카,16
222,미식,먹거리여행,15
222,기타,오지여행,15
222,기타,미국여행,15
222,체험,서핑체험,15
222,미식,맥주파티,15
222,레포츠,스노우보딩,15
228,체험,동물먹이주기체험,14
228,체험,다도체험,14
228,레포츠,제트보트,14
231,미식,먹거리투어,13
231,휴식/힐링,북캉스,13
231,레포츠,행글라이더,13
231,체험,동굴체험,13
235,레포츠,캠크닉,12
236,레포츠,숏스키,11
236,체험,산림문화체험,11
236,휴식/힐링,하늘멍,11
236,레포츠,스노우쿨링,11
236,휴식/힐링,산멍,11
236,체험,해양체험,11
242,레포츠,수상자전거,10
242,휴식/힐링,스테이케이션,10
242,기타,자전거투어,10
242,체험,공포체험,10
242,미식,삼겹살파티,10
242,체험,배낚시체험,10
248,휴식/힐링,벚꽃여행,9
248,체험,놀이체험,9
248,체험,요리체험,9
248,체험,염색체험,9
248,기타,일출투어,9
248,레포츠,배스낚시,9
248,체험,맨발체험,9
248,휴식/힐링,룸캉스,9
248,레포츠,캠핑라이프,9
257,레포츠,패들보트,8
257,체험,우유주기체험,8
257,미식,빵집순례,8
257,체험,곤충체험,8
261,체험,블루베리체험,7
261,체험,도예체험,7
261,체험,패러글라이딩체험,7
261,레포츠,바나나보트,7
265,체험,투명카누체험,6
265,체험,감귤체험,6
265,체험,다례체험,6
265,체험,양떼목장체험,6
265,체험,카라반체험,6
265,체험,원예체험,6
265,체험,향수만들기,6
265,레포츠,bmx,6
265,체험,국궁체험,6
274,체험,클라이밍체험,5
274,체험,선상낚시체험,5
274,체험,치즈체험,5
274,체험,탁본체험,5
274,체험,랜선체험,5
279,체험,스쿠버다이빙체험,4
279,레포츠,줄낚시,4
279,체험,귤체험,4
279,체험,동물먹이체험,4
279,레포츠,아쿠아로빅,4
279,레포츠,웨이크서핑,4
279,휴식/힐링,호텔스테이,4
279,체험,명상체험,4
279,레포츠,애슬레저,4
279,체험,유리공예체험,4
279,기타,데이트스냅,4
279,체험,커피체험,4
279,체험,물레체험,4
279,체험,해루질체험,4
279,레포츠,골캉스,4
279,레포츠,심해잠수,4
279,레포츠,패러세일링,4
296,체험,가우디투어,3
296,체험,증강현실체험,3
296,휴식/힐링,홈콕,3
296,레포츠,롱스키,3
296,체험,담력체험,3
296,체험,천연염색체험,3
296,레포츠,바이크캠핑,3
296,체험,우주체험,3
296,기타,청춘여행,3
296,레포츠,naui,3
296,레포츠,행글라이딩,3
296,체험,해녀체험,3
296,휴식/힐링,카캉스,3
296,체험,카약체험,3
296,휴식/힐링,혼놀,3
296,체험,보트체험,3
312,체험,민속놀이체험,2
312,기타,일본관광,2
312,레포츠,글라이더,2
312,체험,토끼먹이주기체험,2
312,체험,투명카약체험,2
312,체험,씨티투어,2
312,레포츠,암벽산행,2
312,체험,물놀이체험,2
312,체험,다이빙체험,2
312,체험,전통놀이체험,2
312,체험,스노클링체험,2
312,기타,일몰여행,2
312,체험,악기체험,2
312,체험,학생승마체험,2
312,체험,박물관체험,2
312,레포츠,발야구,2
312,휴식/힐링,옥캉스,2
329,레포츠,스킨다이빙,1
329,체험,바지락체험,1
329,체험,농가체험,1
329,체험,스노쿨링체험,1
329,휴식/힐링,촌캉스,1
329,휴식/힐링,방구석캠핑,1
329,미식,와인투어,1
329,체험,레일바이크체험,1
329,체험,향수체험,1
329,휴식/힐링,집콕챌린지,1
329,휴식/힐링,밀월여행,1
329,체험,바다체험,1
329,레포츠,아웃도어액티비티,1
329,체험,사격체험,1
329,체험,한방족욕체험,1
329,레포츠,실내스키,1
329,체험,닥터피쉬체험,1
329,체험,농사체험,1
329,레포츠,rving,1
329,레포츠,클레이사격,1
329,휴식/힐링,석양뷰,1
329,체험,액티비티체험,1
329,체험,한옥숙박체험,1
329,체험,마차체험,1
329,체험,말타기체험,1
329,체험,호텔체험,1
329,기타,워킹투어,1
329,체험,방파제낚시체험,1
329,기타,문화재여행,1
329,체험,타종체험,1
329,체험,텃밭체험,1
