순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,23335
2,레포츠,스키,12305
3,레포츠,캠핑,10066
4,레포츠,등산,9484
5,레포츠,산행,5895
6,레포츠,낚시,5716
7,레포츠,서핑,4710
8,휴식/힐링,겨울여행,4278
9,휴식/힐링,나들이,3774
10,휴식/힐링,휴양,3575
11,기타,투어,3392
12,레포츠,차박,3148
13,휴식/힐링,호캉스,2518
14,레포츠,레저,2482
15,기타,해외여행,2397
16,레포츠,트레킹,2263
17,휴식/힐링,불멍,1971
18,기타,데이트코스,1824
19,휴식/힐링,야영,1700
20,레포츠,글램핑,1562
21,미식,카페투어,1345
22,휴식/힐링,힐링여행,1298
23,기타,답사,1084
24,레포츠,오토캠핑,1003
25,미식,맛집투어,966
26,휴식/힐링,즐길거리,924
27,휴식/힐링,신혼여행,854
28,휴식/힐링,피크닉,825
29,레포츠,백패킹,813
30,레포츠,레포츠,794
31,미식,먹부림,725
32,레포츠,트래킹,652
33,휴식/힐링,드라이브코스,622
34,미식,맛집탐방,603
35,휴식/힐링,가을여행,559
36,기타,기차여행,499
37,레포츠,바다낚시,481
38,레포츠,스쿠버,461
39,미식,빵지순례,452
40,레포츠,패러글라이딩,447
41,레포츠,짚라인,443
42,체험,수학여행,440
43,레포츠,스노우보드,438
44,휴식/힐링,우정여행,434
45,휴식/힐링,물멍,428
46,체험,템플스테이,408
47,레포츠,스노클링,404
47,레포츠,레저스포츠,404
49,기타,추억여행,393
50,레포츠,해양레저,376
50,레포츠,감성캠핑,376
52,휴식/힐링,봄여행,375
53,기타,테마여행,372
54,휴식/힐링,재충전,370
55,레포츠,캠핑족,364
56,레포츠,래프팅,360
57,레포츠,노지캠핑,351
58,레포츠,오프로드,340
59,미식,먹방여행,336
60,체험,농장체험,299
61,체험,농촌체험,293
62,휴식/힐링,바다멍,286
62,휴식/힐링,테라피,286
64,휴식/힐링,집콕생활,279
65,미식,바베큐파티,278
66,기타,도보여행,276
67,레포츠,카약,273
68,레포츠,수상스키,272
68,레포츠,클라이밍,272
70,레포츠,캠프파이어,270
71,레포츠,스쿠버다이빙,261
72,미식,먹킷리스트,255
73,휴식/힐링,태교여행,249
74,기타,제주여행,242
75,레포츠,하이킹,236
76,레포츠,스노쿨링,235
77,레포츠,수상레저,234
78,레포츠,스킨스쿠버,227
79,휴식/힐링,생태관광,196
80,체험,시티투어,189
81,레포츠,골프여행,186
82,기타,부산여행,168
82,휴식/힐링,일광욕,168
84,기타,걷기여행,166
84,휴식/힐링,즉흥여행,166
86,휴식/힐링,감성여행,164
86,체험,동물체험,164
88,기타,제주도여행,157
89,레포츠,번지점프,155
90,기타,세계여행,153
90,체험,생태체험,153
92,기타,유럽여행,147
93,레포츠,빙벽등반,144
94,체험,숲체험,142
95,기타,배낭여행,138
96,레포츠,민물낚시,133
97,레포츠,암벽등반,132
98,레포츠,산악자전거,129
99,휴식/힐링,눈꽃여행,125
100,체험,갯벌체험,124
100,레포츠,스키여행,124
102,미식,고기파티,123
102,기타,자유여행,123
104,레포츠,캠프닉,121
105,기타,스탬프투어,114
106,레포츠,골프투어,113
107,휴식/힐링,차크닉,112
108,체험,루지체험,104
109,휴식/힐링,낭만여행,103
110,체험,승마체험,101
111,기타,자전거여행,99
112,체험,먹이주기체험,97
113,레포츠,카라반캠핑,96
114,체험,어촌체험,95
115,휴식/힐링,허니문,87
116,레포츠,루어낚시,84
116,휴식/힐링,단풍놀이,84
118,체험,쿠킹클래스,81
119,레포츠,게이트볼,78
120,체험,vr체험,77
121,휴식/힐링,일출뷰,76
122,체험,한옥스테이,74
122,기타,일본여행,74
124,레포츠,써핑,73
124,체험,전쟁체험,73
124,레포츠,캠핑여행,73
127,휴식/힐링,온천여행,72
128,체험,수확체험,70
129,휴식/힐링,파도멍,68
129,미식,빵투어,68
131,기타,일출여행,67
132,체험,갯배체험,66
133,기타,졸업여행,65
134,휴식/힐링,홈캠핑,63
134,레포츠,제트스키,63
134,미식,애프터눈티,63
137,기타,세계일주,62
138,레포츠,스케이트보드,58
139,체험,한옥체험,56
139,휴식/힐링,근교여행,56
141,미식,식도락여행,55
142,체험,숙박체험,54
143,레포츠,프리다이빙,52
144,체험,요트체험,51
144,휴식/힐링,펫캉스,51
146,레포츠,오픈워터,49
146,레포츠,낚시여행,49
148,휴식/힐링,워케이션,47
149,체험,목장체험,46
150,기타,역사여행,43
151,레포츠,웨이크보드,42
151,레포츠,해양스포츠,42
151,기타,해돋이여행,42
154,체험,공예체험,41
155,레포츠,페러글라이딩,40
155,휴식/힐링,숙소콕,40
157,레포츠,윈드서핑,39
158,체험,목공체험,38
158,레포츠,padi,38
160,레포츠,수상레져,36
161,기타,기념여행,35
161,체험,낚시체험,35
161,휴식/힐링,요트투어,35
164,레포츠,원스키,34
165,레포츠,스킨스쿠버다이빙,33
165,휴식/힐링,숲캉스,33
165,레포츠,해양레포츠,33
168,레포츠,수상스포츠,32
168,체험,해양레저체험,32
170,체험,목공예체험,31
171,체험,건초주기체험,30
171,체험,카트체험,30
173,레포츠,서바이벌게임,29
173,휴식/힐링,드라이브여행,29
173,체험,버스투어,29
173,기타,동남아여행,29
177,레포츠,플라이낚시,28
177,기타,패키지여행,28
177,레포츠,트레일러닝,28
177,체험,딸기체험,28
181,레포츠,ssi,27
182,기타,야외취침,26
182,기타,열차여행,26
184,체험,택시투어,25
184,레포츠,패들보드,25
184,레포츠,스카이다이빙,25
184,체험,공방체험,25
188,휴식/힐링,노을뷰,24
188,레포츠,견지낚시,24
188,휴식/힐링,크루즈여행,24
191,기타,도시여행,23
191,휴식/힐링,숲멍,23
191,휴식/힐링,키캉스,23
